案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期
PRJ0001,既存会計システム刷新プロジェクト,2025/09,2026/02,77000,12000,2027/12/08
PRJ0002,統合販売管理システム導入プロジェクト,2026/04,2027/09,27000,1500,2026/12/24
PRJ0003,統合在庫管理システム移行プロジェクト,2025/04,2026/11,60000,7100,2026/08/18
PRJ0004,次世代会計システム導入プロジェクト,2026/12,2027/10,71000,13000,2027/09/28
PRJ0005,AI活用顧客管理システム構築プロジェクト,2025/01,2025/09,80000,13000,2026/08/17
PRJ0006,新規販売管理システム移行プロジェクト,2024/05,2026/03,50000,6200,2027/11/25
PRJ0007,次世代顧客管理システム開発プロジェクト,2024/07,2025/12,17000,3100,2027/06/23
PRJ0008,統合人事システム開発プロジェクト,2026/09,2028/09,25000,3500,2025/08/29
PRJ0009,AI活用在庫管理システム構築プロジェクト,2025/07,2027/05,28000,4400,2027/06/08
PRJ0010,DX推進人事システム刷新プロジェクト,2026/09,2027/07,72000,10000,2025/07/24
PRJ0011,統合ECサイト構築プロジェクト,2024/07,2025/09,53000,7100,2026/12/11
PRJ0012,新規ECサイト移行プロジェクト,2024/09,2025/08,94000,16000,2027/01/20
PRJ0013,次世代顧客管理システム移行プロジェクト,2024/04,2026/03,33000,5700,2027/02/15
PRJ0014,既存ECサイト移行プロジェクト,2026/07,2027/09,13000,1700,2025/09/25
PRJ0015,DX推進顧客管理システム導入プロジェクト,2026/05,2026/09,91000,7900,2027/06/29
PRJ0016,DX推進基幹システム移行プロジェクト,2026/02,2026/12,44000,3800,2025/07/20
PRJ0017,クラウドECサイト移行プロジェクト,2026/08,2027/02,77000,5600,2025/02/21
PRJ0018,次世代ECサイト導入プロジェクト,2026/05,2027/11,20000,1400,2027/07/30
PRJ0019,既存ECサイト構築プロジェクト,2025/02,2026/09,58000,4400,2025/06/15
PRJ0020,既存会計システム開発プロジェクト,2024/06,2026/04,16000,2100,2026/06/05
PRJ0021,統合ECサイト移行プロジェクト,2024/10,2025/02,81000,9500,2026/08/31
PRJ0022,次世代人事システム導入プロジェクト,2024/07,2025/08,14000,2300,2026/06/12
PRJ0023,新規在庫管理システム構築プロジェクト,2024/06,2025/10,94000,11000,2026/12/02
PRJ0024,AI活用顧客管理システム移行プロジェクト,2024/05,2025/01,94000,5000,2026/11/20
PRJ0025,AI活用人事システム構築プロジェクト,2026/06,2027/10,13000,1400,2025/12/25
PRJ0026,DX推進基幹システム刷新プロジェクト,2026/01,2026/09,95000,7200,2027/12/31
PRJ0027,新規会計システム開発プロジェクト,2024/01,2025/11,29000,4700,2026/10/01
PRJ0028,クラウド会計システム刷新プロジェクト,2026/12,2027/04,11000,1700,2025/09/18
PRJ0029,統合基幹システム移行プロジェクト,2026/01,2026/05,83000,12000,2026/11/01
PRJ0030,既存在庫管理システム構築プロジェクト,2026/10,2027/06,50000,6400,2025/08/01
PRJ0031,既存顧客管理システム移行プロジェクト,2025/02,2025/09,46000,8100,2025/01/27
PRJ0032,新規会計システム構築プロジェクト,2025/03,2027/02,65000,12000,2026/01/16
PRJ0033,AI活用販売管理システム導入プロジェクト,2025/06,2027/04,50000,2800,2025/04/30
PRJ0034,クラウド顧客管理システム移行プロジェクト,2024/05,2025/02,83000,5100,2027/11/22
PRJ0035,DX推進ECサイト構築プロジェクト,2026/06,2026/09,20000,1000,2026/05/01
PRJ0036,クラウド販売管理システム移行プロジェクト,2026/04,2027/02,70000,12000,2026/11/08
PRJ0037,DX推進会計システム開発プロジェクト,2025/07,2026/02,85000,7900,2026/05/10
PRJ0038,クラウド顧客管理システム移行プロジェクト,2024/05,2024/12,99000,19000,2026/09/23
PRJ0039,DX推進在庫管理システム刷新プロジェクト,2026/11,2027/09,64000,5900,2025/02/16
PRJ0040,次世代在庫管理システム刷新プロジェクト,2026/01,2027/01,40000,5900,2026/02/02
PRJ0041,新規顧客管理システム導入プロジェクト,2025/09,2026/12,22000,3700,2025/05/30
PRJ0042,既存人事システム刷新プロジェクト,2024/02,2024/12,98000,15000,2025/09/23
PRJ0043,新規在庫管理システム導入プロジェクト,2027/01,2028/05,14000,2600,2026/04/03
PRJ0044,次世代ECサイト移行プロジェクト,2024/05,2025/11,97000,10000,2027/04/09
PRJ0045,既存販売管理システム導入プロジェクト,2025/12,2026/06,82000,11000,2026/02/16
PRJ0046,DX推進顧客管理システム開発プロジェクト,2024/12,2025/04,59000,10000,2025/06/04
PRJ0047,クラウド在庫管理システム刷新プロジェクト,2025/04,2025/09,16000,1500,2027/02/10
PRJ0048,AI活用ECサイト移行プロジェクト,2025/07,2026/01,59000,8900,2028/01/02
PRJ0049,クラウド顧客管理システム移行プロジェクト,2026/01,2027/02,66000,11000,2027/05/23
PRJ0050,クラウド基幹システム構築プロジェクト,2024/04,2025/09,61000,5000,2026/02/20
PRJ0051,AI活用人事システム導入プロジェクト,2024/10,2025/11,75000,10000,2026/06/12
PRJ0052,既存顧客管理システム開発プロジェクト,2024/05,2026/04,32000,6300,2027/12/26
PRJ0053,次世代会計システム移行プロジェクト,2025/08,2026/10,76000,12000,2027/06/05
PRJ0054,AI活用在庫管理システム刷新プロジェクト,2024/01,2025/06,54000,4600,2027/11/02
PRJ0055,DX推進基幹システム導入プロジェクト,2024/07,2025/01,72000,13000,2026/12/12
PRJ0056,DX推進顧客管理システム刷新プロジェクト,2025/12,2026/09,44000,2900,2025/02/08
PRJ0057,DX推進基幹システム導入プロジェクト,2025/08,2026/04,83000,5200,2025/10/06
PRJ0058,クラウド販売管理システム導入プロジェクト,2025/12,2026/12,67000,12000,2025/09/07
PRJ0059,既存販売管理システム構築プロジェクト,2025/10,2026/01,47000,7000,2027/10/01
PRJ0060,統合在庫管理システム開発プロジェクト,2026/11,2028/09,47000,6100,2027/05/16
PRJ0061,新規在庫管理システム移行プロジェクト,2025/07,2027/06,86000,12000,2025/07/03
PRJ0062,AI活用人事システム導入プロジェクト,2025/08,2026/09,99000,10000,2027/05/16
PRJ0063,次世代ECサイト開発プロジェクト,2026/04,2028/01,92000,12000,2026/12/16
PRJ0064,AI活用在庫管理システム構築プロジェクト,2024/11,2026/11,22000,3100,2025/06/19
PRJ0065,次世代人事システム開発プロジェクト,2026/10,2028/03,10000,1700,2027/10/18
PRJ0066,クラウド販売管理システム導入プロジェクト,2024/02,2025/05,26000,2800,2025/03/08
PRJ0067,新規基幹システム刷新プロジェクト,2025/12,2027/03,82000,12000,2027/03/31
PRJ0068,AI活用販売管理システム構築プロジェクト,2025/03,2025/06,95000,10000,2025/06/29
PRJ0069,次世代人事システム構築プロジェクト,2025/07,2025/12,24000,4000,2026/10/05
PRJ0070,次世代在庫管理システム移行プロジェクト,2025/05,2026/04,62000,9200,2027/09/08
PRJ0071,AI活用基幹システム構築プロジェクト,2024/09,2026/03,70000,8300,2026/07/15
PRJ0072,クラウド顧客管理システム移行プロジェクト,2024/06,2024/12,90000,15000,2027/03/09
PRJ0073,既存顧客管理システム導入プロジェクト,2026/07,2027/06,70000,11000,2025/06/16
PRJ0074,DX推進基幹システム移行プロジェクト,2026/06,2027/10,60000,10000,2026/10/30
PRJ0075,既存顧客管理システム開発プロジェクト,2025/03,2026/11,26000,2700,2026/05/02
PRJ0076,既存会計システム移行プロジェクト,2026/07,2027/06,45000,6500,2025/05/27
PRJ0077,AI活用在庫管理システム刷新プロジェクト,2026/06,2028/06,67000,4300,2026/08/13
PRJ0078,DX推進ECサイト導入プロジェクト,2026/10,2028/08,43000,4100,2025/05/20
PRJ0079,次世代在庫管理システム構築プロジェクト,2024/07,2024/12,33000,3700,2025/04/10
PRJ0080,新規基幹システム刷新プロジェクト,2026/07,2028/05,99000,7100,2025/02/09
PRJ0081,AI活用顧客管理システム導入プロジェクト,2024/05,2025/01,65000,12000,2025/11/24
PRJ0082,AI活用ECサイト構築プロジェクト,2025/02,2025/08,81000,7900,2026/03/09
PRJ0083,AI活用顧客管理システム導入プロジェクト,2026/10,2027/04,79000,10000,2025/10/13
PRJ0084,AI活用基幹システム導入プロジェクト,2024/07,2025/02,81000,13000,2025/05/23
PRJ0085,統合基幹システム構築プロジェクト,2025/03,2026/01,51000,9100,2026/02/08
PRJ0086,次世代販売管理システム刷新プロジェクト,2024/07,2025/08,93000,10000,2027/10/19
PRJ0087,AI活用在庫管理システム移行プロジェクト,2025/06,2026/03,34000,4700,2026/08/05
PRJ0088,DX推進ECサイト導入プロジェクト,2024/01,2025/04,32000,2300,2026/04/06
PRJ0089,クラウド人事システム開発プロジェクト,2024/10,2026/06,24000,3200,2026/09/29
PRJ0090,DX推進顧客管理システム刷新プロジェクト,2026/03,2026/10,21000,1400,2027/08/29
PRJ0091,統合基幹システム導入プロジェクト,2026/02,2027/12,64000,7600,2027/01/30
PRJ0092,統合ECサイト構築プロジェクト,2026/05,2028/04,82000,11000,2027/08/15
PRJ0093,統合販売管理システム移行プロジェクト,2024/04,2025/05,83000,10000,2025/10/24
PRJ0094,新規基幹システム導入プロジェクト,2026/08,2027/08,85000,8500,2027/01/09
PRJ0095,AI活用会計システム導入プロジェクト,2025/08,2027/03,89000,17000,2027/09/13
PRJ0096,DX推進販売管理システム開発プロジェクト,2024/03,2025/04,10000,750,2025/09/01
PRJ0097,AI活用販売管理システム移行プロジェクト,2025/10,2026/06,40000,2900,2026/10/16
PRJ0098,次世代販売管理システム移行プロジェクト,2025/05,2026/05,40000,2000,2025/09/08
PRJ0099,AI活用顧客管理システム刷新プロジェクト,2025/02,2026/01,99000,6900,2026/11/19
PRJ0100,既存人事システム刷新プロジェクト,2024/05,2026/01,67000,8400,2026/08/21
