respondent_id,department,position,years_of_service,it_skill_level,usage_frequency,main_services,inquiry_count,overall_satisfaction,response_speed,technical_competence,explanation_clarity,service_politeness,system_stability,security_measures,new_system_support,response_speed_importance,technical_competence_importance,explanation_clarity_importance,service_politeness_importance,most_improvement_needed,additional_services,future_relationship
R0001,人事部,役員,3-5年,基本的,月1回程度,"新システム導入支援,ネットワーク関連,セキュリティ関連",1-2回,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,技術力向上,"研修・講習会,リモート支援",より密接な連携
R0002,その他,課長・部長,1年未満,中級,月1回程度,"ネットワーク関連,PC・機器設定",6-10回,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,システム安定性,FAQ充実,より密接な連携
R0003,管理部,一般職,10年以上,専門的,月1回程度,"セキュリティ関連,PC・機器設定",11回以上,3.0,2.0,,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,対応スピード,研修・講習会,現状維持
R0004,その他,役員,1年未満,初心者,年数回,新システム導入支援,0回,2.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,その他,"研修・講習会,セルフサービス機能",その他
R0005,その他,役員,3-5年,上級,月1回程度,PC・機器設定,6-10回,4.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,その他,研修・講習会,その他
R0006,製造部,主任・係長,1-3年,初心者,年数回,"システム障害対応,新システム導入支援,ヘルプデスク",3-5回,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,システム安定性,研修・講習会,その他
R0007,管理部,一般職,5-10年,上級,月1回程度,ネットワーク関連,6-10回,4.0,,3.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,技術力向上,FAQ充実,より自立的な利用
R0008,管理部,役員,3-5年,初心者,週1回程度,新システム導入支援,11回以上,,,4.0,3.0,,3.0,4.0,3.0,2.0,4.0,4.0,4.0,対応スピード,"リモート支援,研修・講習会",その他
R0009,管理部,課長・部長,1年未満,専門的,月1回程度,システム障害対応,0回,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,技術力向上,"セルフサービス機能,研修・講習会",より密接な連携
R0010,その他,課長・部長,5-10年,上級,年数回,"セキュリティ関連,ネットワーク関連,システム障害対応",0回,4.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,技術力向上,"セルフサービス機能,リモート支援",より密接な連携
R0011,人事部,主任・係長,1年未満,中級,週2-3回,"PC・機器設定,セキュリティ関連,新システム導入支援",11回以上,2.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,対応スピード,研修・講習会,より自立的な利用
R0012,管理部,役員,1年未満,初心者,月1回程度,システム障害対応,11回以上,3.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,対応スピード,"FAQ充実,リモート支援",より自立的な利用
R0013,その他,一般職,1-3年,初心者,週2-3回,新システム導入支援,3-5回,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,その他,"研修・講習会,リモート支援",その他
R0014,製造部,課長・部長,5-10年,上級,週1回程度,"セキュリティ関連,ヘルプデスク",0回,3.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,その他,"FAQ充実,研修・講習会",現状維持
R0015,人事部,役員,5-10年,中級,ほぼ毎日,"PC・機器設定,ネットワーク関連,ヘルプデスク",6-10回,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,対応スピード,"FAQ充実,研修・講習会",より自立的な利用
R0016,製造部,役員,1-3年,中級,週1回程度,"新システム導入支援,セキュリティ関連",1-2回,3.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,説明方法,セルフサービス機能,より自立的な利用
R0017,人事部,主任・係長,3-5年,専門的,月1回程度,"新システム導入支援,PC・機器設定",1-2回,2.0,2.0,3.0,4.0,1.0,3.0,,4.0,2.0,3.0,4.0,4.0,その他,"セルフサービス機能,FAQ充実",その他
R0018,その他,課長・部長,1年未満,中級,週2-3回,"新システム導入支援,セキュリティ関連",11回以上,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,説明方法,"セルフサービス機能,FAQ充実",その他
R0019,営業部,課長・部長,10年以上,中級,週2-3回,"PC・機器設定,新システム導入支援,セキュリティ関連",3-5回,3.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,対応スピード,セルフサービス機能,より自立的な利用
R0020,人事部,一般職,1年未満,中級,年数回,"セキュリティ関連,新システム導入支援,システム障害対応",1-2回,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,その他,セルフサービス機能,現状維持
R0021,製造部,課長・部長,1年未満,基本的,週2-3回,"セキュリティ関連,ヘルプデスク,システム障害対応",0回,5.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,技術力向上,研修・講習会,より自立的な利用
R0022,その他,一般職,3-5年,専門的,年数回,"ヘルプデスク,ネットワーク関連,PC・機器設定",11回以上,2.0,3.0,,2.0,4.0,3.0,4.0,5.0,1.0,3.0,3.0,3.0,対応スピード,"研修・講習会,FAQ充実",その他
R0023,人事部,課長・部長,1年未満,初心者,ほぼ毎日,"ヘルプデスク,新システム導入支援,PC・機器設定",6-10回,4.0,3.0,5.0,4.0,,2.0,4.0,3.0,3.0,3.0,3.0,3.0,システム安定性,リモート支援,その他
R0024,営業部,主任・係長,1-3年,上級,月1回程度,PC・機器設定,11回以上,1.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,説明方法,"リモート支援,FAQ充実",より自立的な利用
R0025,営業部,課長・部長,1-3年,初心者,年数回,"新システム導入支援,システム障害対応",6-10回,1.0,4.0,2.0,3.0,,3.0,3.0,5.0,3.0,3.0,2.0,3.0,対応スピード,セルフサービス機能,現状維持
R0026,管理部,一般職,5-10年,専門的,ほぼ毎日,ヘルプデスク,11回以上,2.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,対応スピード,FAQ充実,より自立的な利用
R0027,管理部,一般職,10年以上,上級,週2-3回,PC・機器設定,11回以上,2.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,その他,"FAQ充実,リモート支援",より自立的な利用
R0028,製造部,主任・係長,1年未満,専門的,週2-3回,"セキュリティ関連,システム障害対応",11回以上,3.0,3.0,4.0,2.0,3.0,3.0,,2.0,3.0,3.0,4.0,3.0,その他,FAQ充実,その他
R0029,人事部,課長・部長,1年未満,中級,ほぼ毎日,"セキュリティ関連,ネットワーク関連,システム障害対応",6-10回,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,その他,"リモート支援,研修・講習会",現状維持
R0030,人事部,課長・部長,3-5年,上級,週2-3回,PC・機器設定,6-10回,3.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,システム安定性,FAQ充実,より密接な連携
R0031,管理部,主任・係長,1-3年,中級,ほぼ毎日,"セキュリティ関連,ネットワーク関連,システム障害対応",11回以上,3.0,5.0,4.0,5.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,その他,研修・講習会,現状維持
R0032,人事部,課長・部長,10年以上,初心者,年数回,"ネットワーク関連,新システム導入支援",1-2回,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,対応スピード,"リモート支援,FAQ充実",より自立的な利用
R0033,人事部,課長・部長,5-10年,初心者,年数回,"ネットワーク関連,新システム導入支援",3-5回,4.0,2.0,,3.0,3.0,,,3.0,3.0,3.0,3.0,2.0,その他,"リモート支援,セルフサービス機能",より自立的な利用
R0034,営業部,一般職,1-3年,上級,ほぼ毎日,"システム障害対応,新システム導入支援,PC・機器設定",3-5回,2.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,技術力向上,セルフサービス機能,より自立的な利用
R0035,管理部,課長・部長,5-10年,上級,年数回,新システム導入支援,3-5回,3.0,3.0,1.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,その他,"FAQ充実,セルフサービス機能",現状維持
R0036,その他,課長・部長,3-5年,専門的,年数回,ネットワーク関連,6-10回,3.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,システム安定性,"研修・講習会,FAQ充実",その他
R0037,管理部,主任・係長,3-5年,専門的,年数回,ヘルプデスク,6-10回,3.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,技術力向上,"セルフサービス機能,リモート支援",より自立的な利用
R0038,その他,主任・係長,1年未満,中級,週1回程度,"PC・機器設定,システム障害対応,ヘルプデスク",1-2回,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,対応スピード,研修・講習会,より自立的な利用
R0039,営業部,役員,10年以上,上級,月1回程度,PC・機器設定,3-5回,3.0,,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,対応スピード,"セルフサービス機能,研修・講習会",現状維持
R0040,製造部,一般職,5-10年,初心者,週2-3回,"システム障害対応,PC・機器設定,セキュリティ関連",3-5回,3.0,3.0,5.0,3.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,説明方法,セルフサービス機能,より密接な連携
R0041,人事部,課長・部長,1-3年,専門的,週1回程度,セキュリティ関連,11回以上,2.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,技術力向上,セルフサービス機能,より密接な連携
R0042,営業部,課長・部長,3-5年,専門的,年数回,システム障害対応,6-10回,2.0,2.0,2.0,5.0,3.0,4.0,2.0,,3.0,2.0,4.0,2.0,説明方法,セルフサービス機能,その他
R0043,人事部,役員,1年未満,初心者,ほぼ毎日,システム障害対応,3-5回,3.0,4.0,4.0,1.0,,2.0,4.0,3.0,1.0,3.0,4.0,3.0,技術力向上,研修・講習会,その他
R0044,製造部,課長・部長,1年未満,専門的,年数回,PC・機器設定,1-2回,3.0,2.0,3.0,,2.0,5.0,3.0,,2.0,3.0,3.0,3.0,技術力向上,"リモート支援,FAQ充実",より自立的な利用
R0045,製造部,一般職,5-10年,中級,月1回程度,PC・機器設定,1-2回,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,システム安定性,"研修・講習会,FAQ充実",現状維持
R0046,営業部,役員,3-5年,上級,年数回,セキュリティ関連,3-5回,2.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,説明方法,リモート支援,より自立的な利用
R0047,製造部,一般職,10年以上,初心者,ほぼ毎日,"ヘルプデスク,新システム導入支援",6-10回,,4.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,4.0,システム安定性,セルフサービス機能,その他
R0048,その他,役員,3-5年,上級,月1回程度,"ネットワーク関連,PC・機器設定",1-2回,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,技術力向上,"セルフサービス機能,FAQ充実",現状維持
R0049,製造部,役員,5-10年,専門的,年数回,ネットワーク関連,11回以上,4.0,1.0,3.0,3.0,2.0,3.0,4.0,,4.0,2.0,2.0,4.0,対応スピード,"リモート支援,セルフサービス機能",現状維持
R0050,人事部,主任・係長,5-10年,専門的,月1回程度,"新システム導入支援,ヘルプデスク,PC・機器設定",1-2回,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,4.0,3.0,4.0,技術力向上,"リモート支援,FAQ充実",その他
R0051,人事部,一般職,3-5年,初心者,週2-3回,"ヘルプデスク,新システム導入支援,ネットワーク関連",0回,3.0,4.0,,2.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,システム安定性,"FAQ充実,リモート支援",より密接な連携
R0052,人事部,課長・部長,5-10年,中級,週2-3回,"ヘルプデスク,セキュリティ関連",0回,3.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,説明方法,"研修・講習会,リモート支援",より密接な連携
R0053,人事部,課長・部長,3-5年,基本的,年数回,ネットワーク関連,6-10回,,,1.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,説明方法,"FAQ充実,セルフサービス機能",現状維持
R0054,その他,一般職,1-3年,初心者,月1回程度,"セキュリティ関連,ネットワーク関連",3-5回,2.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,システム安定性,"セルフサービス機能,リモート支援",より自立的な利用
R0055,管理部,課長・部長,3-5年,基本的,ほぼ毎日,"新システム導入支援,ネットワーク関連",6-10回,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,説明方法,"リモート支援,研修・講習会",より密接な連携
R0056,営業部,課長・部長,3-5年,基本的,年数回,"新システム導入支援,PC・機器設定",6-10回,2.0,3.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,その他,"FAQ充実,セルフサービス機能",より自立的な利用
R0057,人事部,一般職,5-10年,中級,週2-3回,"システム障害対応,PC・機器設定,ヘルプデスク",6-10回,1.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,対応スピード,リモート支援,より密接な連携
R0058,製造部,役員,5-10年,基本的,週2-3回,"システム障害対応,セキュリティ関連,ヘルプデスク",6-10回,5.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,対応スピード,"研修・講習会,セルフサービス機能",より密接な連携
R0059,人事部,一般職,1年未満,基本的,年数回,"セキュリティ関連,ヘルプデスク,システム障害対応",11回以上,2.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,対応スピード,"研修・講習会,リモート支援",より自立的な利用
R0060,製造部,役員,1年未満,中級,月1回程度,"ネットワーク関連,システム障害対応",11回以上,2.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,説明方法,FAQ充実,その他
R0061,製造部,課長・部長,1-3年,基本的,週2-3回,"PC・機器設定,新システム導入支援",1-2回,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,説明方法,研修・講習会,より密接な連携
R0062,人事部,課長・部長,1年未満,基本的,月1回程度,新システム導入支援,0回,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,技術力向上,FAQ充実,より密接な連携
R0063,その他,課長・部長,3-5年,基本的,週2-3回,"PC・機器設定,セキュリティ関連",6-10回,4.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,技術力向上,FAQ充実,より自立的な利用
R0064,製造部,主任・係長,5-10年,初心者,週2-3回,システム障害対応,1-2回,,4.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,対応スピード,FAQ充実,その他
R0065,製造部,役員,1年未満,初心者,週1回程度,"システム障害対応,新システム導入支援",0回,4.0,4.0,4.0,2.0,2.0,5.0,,4.0,2.0,3.0,4.0,4.0,その他,研修・講習会,より密接な連携
R0066,人事部,主任・係長,1年未満,初心者,週2-3回,ヘルプデスク,3-5回,1.0,5.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,技術力向上,"FAQ充実,研修・講習会",より密接な連携
R0067,製造部,主任・係長,1-3年,中級,ほぼ毎日,"ヘルプデスク,PC・機器設定",11回以上,1.0,2.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,技術力向上,"セルフサービス機能,研修・講習会",その他
R0068,製造部,一般職,1-3年,専門的,年数回,"PC・機器設定,システム障害対応,ヘルプデスク",0回,2.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,説明方法,"リモート支援,研修・講習会",より密接な連携
R0069,人事部,主任・係長,3-5年,基本的,年数回,"ヘルプデスク,システム障害対応",3-5回,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,その他,"FAQ充実,セルフサービス機能",その他
R0070,人事部,一般職,5-10年,基本的,月1回程度,セキュリティ関連,0回,3.0,,,5.0,3.0,3.0,2.0,,3.0,3.0,4.0,2.0,対応スピード,"研修・講習会,セルフサービス機能",その他
R0071,営業部,一般職,1-3年,中級,週2-3回,PC・機器設定,11回以上,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,技術力向上,FAQ充実,より自立的な利用
R0072,その他,主任・係長,1年未満,基本的,ほぼ毎日,新システム導入支援,11回以上,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,その他,研修・講習会,現状維持
R0073,その他,役員,5-10年,初心者,月1回程度,ヘルプデスク,1-2回,5.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,その他,"FAQ充実,リモート支援",その他
R0074,製造部,役員,5-10年,専門的,週1回程度,"ネットワーク関連,セキュリティ関連",6-10回,4.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,対応スピード,セルフサービス機能,より自立的な利用
R0075,その他,役員,1年未満,上級,月1回程度,新システム導入支援,0回,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,その他,研修・講習会,現状維持
R0076,製造部,役員,1-3年,基本的,月1回程度,"システム障害対応,新システム導入支援,PC・機器設定",0回,3.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,その他,"セルフサービス機能,FAQ充実",より密接な連携
R0077,営業部,役員,1年未満,初心者,週2-3回,"ヘルプデスク,セキュリティ関連",3-5回,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,その他,リモート支援,現状維持
R0078,人事部,主任・係長,5-10年,上級,週1回程度,"システム障害対応,ネットワーク関連",11回以上,3.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,技術力向上,"FAQ充実,研修・講習会",その他
R0079,人事部,主任・係長,10年以上,専門的,月1回程度,"ヘルプデスク,システム障害対応,新システム導入支援",0回,1.0,,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,対応スピード,研修・講習会,その他
R0080,人事部,課長・部長,10年以上,上級,ほぼ毎日,"ヘルプデスク,システム障害対応",11回以上,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,その他,"リモート支援,セルフサービス機能",その他
R0081,その他,役員,3-5年,初心者,ほぼ毎日,"ネットワーク関連,PC・機器設定",0回,,4.0,,2.0,4.0,3.0,,4.0,3.0,3.0,4.0,4.0,その他,"リモート支援,セルフサービス機能",その他
R0082,営業部,主任・係長,1年未満,上級,年数回,"PC・機器設定,ネットワーク関連,ヘルプデスク",1-2回,4.0,2.0,4.0,3.0,3.0,4.0,3.0,,3.0,1.0,3.0,3.0,技術力向上,"FAQ充実,セルフサービス機能",その他
R0083,その他,課長・部長,1年未満,中級,週1回程度,ヘルプデスク,6-10回,,4.0,,5.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,対応スピード,"セルフサービス機能,FAQ充実",より自立的な利用
R0084,その他,役員,3-5年,上級,週1回程度,システム障害対応,0回,4.0,3.0,3.0,3.0,4.0,,3.0,3.0,3.0,2.0,3.0,3.0,説明方法,"FAQ充実,セルフサービス機能",その他
R0085,営業部,一般職,3-5年,基本的,年数回,"PC・機器設定,ヘルプデスク",11回以上,5.0,3.0,3.0,4.0,2.0,3.0,,2.0,4.0,2.0,3.0,4.0,技術力向上,FAQ充実,より自立的な利用
R0086,営業部,課長・部長,3-5年,基本的,月1回程度,PC・機器設定,1-2回,5.0,3.0,2.0,2.0,4.0,2.0,,3.0,2.0,2.0,2.0,2.0,対応スピード,FAQ充実,より密接な連携
R0087,営業部,主任・係長,5-10年,中級,週1回程度,"新システム導入支援,ヘルプデスク",0回,2.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,その他,セルフサービス機能,その他
R0088,営業部,一般職,1年未満,初心者,ほぼ毎日,"システム障害対応,セキュリティ関連",3-5回,4.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,対応スピード,研修・講習会,その他
R0089,人事部,一般職,5-10年,基本的,ほぼ毎日,PC・機器設定,6-10回,3.0,,3.0,3.0,3.0,2.0,,3.0,3.0,3.0,4.0,3.0,対応スピード,セルフサービス機能,現状維持
R0090,管理部,一般職,3-5年,専門的,週2-3回,"PC・機器設定,新システム導入支援,システム障害対応",0回,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,対応スピード,"FAQ充実,研修・講習会",より密接な連携
R0091,管理部,課長・部長,1年未満,基本的,週1回程度,"システム障害対応,ヘルプデスク",1-2回,3.0,3.0,3.0,,,4.0,2.0,3.0,3.0,2.0,3.0,3.0,説明方法,"セルフサービス機能,リモート支援",その他
R0092,営業部,主任・係長,5-10年,基本的,月1回程度,"セキュリティ関連,システム障害対応",3-5回,1.0,3.0,3.0,4.0,,4.0,1.0,3.0,3.0,2.0,4.0,3.0,対応スピード,"FAQ充実,リモート支援",その他
R0093,管理部,一般職,5-10年,初心者,年数回,"システム障害対応,ヘルプデスク",1-2回,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,説明方法,セルフサービス機能,より密接な連携
R0094,管理部,役員,3-5年,上級,年数回,ネットワーク関連,1-2回,3.0,,3.0,,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,その他,"セルフサービス機能,リモート支援",より自立的な利用
R0095,営業部,一般職,1年未満,基本的,月1回程度,ヘルプデスク,3-5回,2.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,説明方法,セルフサービス機能,その他
R0096,管理部,一般職,3-5年,中級,週2-3回,"新システム導入支援,セキュリティ関連",1-2回,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,その他,リモート支援,現状維持
R0097,その他,課長・部長,1年未満,上級,年数回,"ネットワーク関連,PC・機器設定",3-5回,1.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,その他,セルフサービス機能,その他
R0098,製造部,課長・部長,10年以上,専門的,週1回程度,"システム障害対応,新システム導入支援,PC・機器設定",0回,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,説明方法,"セルフサービス機能,研修・講習会",現状維持
R0099,製造部,主任・係長,1-3年,初心者,週2-3回,"セキュリティ関連,ヘルプデスク,新システム導入支援",3-5回,4.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,技術力向上,"セルフサービス機能,FAQ充実",現状維持
R0100,営業部,役員,1-3年,専門的,週1回程度,"ヘルプデスク,システム障害対応,PC・機器設定",3-5回,2.0,3.0,5.0,,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,システム安定性,"リモート支援,FAQ充実",その他
